순위,기관명,목록명,서비스유형
1,기상청,기상청_단기예보 조회서비스,REST
2,국토교통부,국토교통부_자동차종합정보 API서비스,LINK
3,한국천문연구원,한국천문연구원_특일 정보,REST
4,국토교통부,국토교통부_아파트 매매 실거래가 자료,REST
5,행정안전부,행정안전부_실시간 주소정보 조회(검색API),LINK
6,조달청,조달청_나라장터 입찰공고정보서비스,REST
7,국세청,국세청_사업자등록정보 진위확인 및 상태조회 서비스,REST
8,한국수출입은행,한국수출입은행 환율 정보,LINK
9,한국환경공단,한국환경공단_에어코리아_대기오염정보,REST
10,국토교통부,국토교통부_연속지적도,LINK
11,국토교통부,국토교통부_아파트 매매 실거래가 상세 자료,REST
12,국토교통부,국토교통부_지오코더 API,LINK
13,국토교통부,국토교통부_아파트 전월세 실거래가 자료,REST
14,한국관광공사,한국관광공사_국문 관광정보 서비스_GW,REST
15,국토교통부,국토교통부_건축HUB_건축물대장정보 서비스,REST
16,제주특별자치도,제주특별자치도_실시간  교통정보,LINK
17,한국고용정보원,한국고용정보원_워크넷 채용정보 채용목록 및 상세정보,LINK
18,서울특별시,서울특별시_지하철 실시간 도착정보,LINK
19,조달청,조달청_나라장터 낙찰정보서비스,REST
20,금융위원회,금융위원회_주식시세정보,REST
